filename,category,old_rate,tree_rate,rle_rate,straights_rate,straights_huffman_rate,reduced_edgebits_rate,paths_2bit_rate,tree_comp_time,tree_decomp_time,old_comp_time, old_decomp_time,rle_comp_time,rle_decomp_time,straights_comp_time,straights_decomp_time,huffman_comp_time,huffman_decomp_time,reduced_comp_time,reduced_decomp_time,paths_2bit_comp_time,paths_2bit_decomp_time
pk01_panel02_s.png,textures_pk01,1.60237,1.66568,1.46138,1.46943,1.51874,1.6382,1.40705,20,42,15,17,49,20,26,25,23,32,26,25,8,31
pk01_panel02_d.png,textures_pk01,0.941819,0.941827,0.981669,0.992435,0.99171,0.941835,0.860806,34,75,16,29,52,27,20,29,19,38,25,46,12,44
pk01_panel_small02_add.png,textures_pk01,8.8642,30.6201,30.7482,31.1366,31.1514,13.7272,27.5815,1,0,3,0,1,0,0,0,0,0,8,1,0,0
pk01_panel03_local.png,textures_pk01,3.47192,3.8223,3.38381,3.25814,3.49869,3.71493,2.99895,14,24,9,8,31,11,17,14,15,17,18,14,5,13
pk01_pan_wall02a_local.png,textures_pk01,4.55079,5.78335,4.54284,4.21223,4.71822,5.13774,4.23169,9,14,9,6,23,8,15,11,13,13,19,10,3,9
pk01_panel03b_d.png,textures_pk01,0.94926,0.949261,0.979639,0.992331,0.992635,0.949289,0.864083,34,78,16,29,53,27,21,26,20,39,25,46,12,45
pk01_pan_wall02b_s.png,textures_pk01,1.46582,1.49585,1.24775,1.25447,1.31119,1.4853,1.22588,24,49,12,20,63,23,34,31,29,39,21,31,10,32
pk01_wall02_local.png,textures_pk01,2.86515,3.14379,2.71864,2.52124,2.70011,3.05349,2.57139,16,26,11,11,38,13,24,17,20,23,20,17,6,15
pk01_pan_wall02b1_d.png,textures_pk01,1.0098,1.01124,1.0032,1.0202,1.02697,1.01091,0.904827,32,71,15,26,57,27,25,37,24,70,24,42,12,41
pk01_floor02a_d.png,textures_pk01,0.928281,0.928279,0.985691,0.991993,0.99022,0.928266,0.855308,17,37,13,13,24,12,9,11,8,17,18,21,6,21
pk01_thin_wall01b_d.png,textures_pk01,0.937353,0.937352,0.982154,0.989809,0.989308,0.937342,0.858103,17,37,8,13,25,12,10,11,10,17,13,22,7,21
pk01_wall03b_d.png,textures_pk01,0.940487,0.940489,0.983144,0.993537,0.993141,0.9405,0.860871,68,154,51,59,105,56,40,51,39,77,69,92,25,88
pk01_pan_floor01_local.png,textures_pk01,3.50435,4.0778,3.57923,3.53526,3.73473,3.82053,3.2452,6,10,5,4,12,4,6,6,5,7,10,6,2,5
pk01_panel01a_add.png,textures_pk01,5.68888,9.88725,9.89478,10.0207,10.0358,7.22032,8.8984,4,9,8,5,6,4,3,1,3,4,17,9,1,4
pk01_pan_floor02b_d.png,textures_pk01,0.947582,0.947603,0.979837,0.994023,0.991925,0.947644,0.864408,16,36,7,13,26,12,10,12,9,17,12,20,6,21
pk01_panel01b_d.png,textures_pk01,0.93426,0.934258,0.983557,0.992545,0.990811,0.934256,0.857902,35,79,27,28,51,26,20,26,19,38,37,47,13,45
pk01_floor02_s.png,textures_pk01,1.03264,1.03264,0.965315,1.00122,1.01073,1.0329,0.899662,15,33,7,12,32,13,13,15,12,19,11,17,6,20
pk01_gra_floor01_local.png,textures_pk01,1.29183,1.30862,1.31112,1.30277,1.32642,1.3063,1.15991,26,58,13,25,46,22,21,23,19,30,21,35,9,32
pk01_door01b_d.png,textures_pk01,0.943174,0.943189,0.980911,0.992264,0.991769,0.943187,0.861045,35,128,18,33,55,42,23,41,22,66,27,54,14,90
pk01_door01_local.png,textures_pk01,2.59872,2.7894,2.38938,2.28007,2.43236,2.72448,2.24939,150,30,14,12,47,15,24,18,21,24,24,19,7,18
pk01_tile_floor01b_d.png,textures_pk01,0.934326,0.934325,0.983959,0.992697,0.990829,0.934327,0.858157,35,77,28,29,52,28,20,25,20,38,36,48,13,43
pk01_trims01a_d.png,textures_pk01,0.952357,0.952471,0.991723,0.99944,1.00004,0.952549,0.871283,35,75,26,28,53,27,22,26,21,37,35,46,13,43
pk01_gra_floor02_d.png,textures_pk01,0.935396,0.935394,0.983337,0.99172,0.990485,0.935387,0.857602,17,37,8,13,25,12,9,11,8,16,12,20,6,21
pk01_gra_floor02_s.png,textures_pk01,1.05065,1.05081,0.978514,1.01074,1.02267,1.05138,0.914895,15,31,7,12,32,13,15,14,13,19,11,17,6,20
pk01_panel02_local.png,textures_pk01,3.05614,3.22876,2.59924,2.30909,2.56464,3.20862,2.50591,16,38,10,19,42,23,30,32,25,52,19,27,6,18
pk01_panel01_s.png,textures_pk01,1.30502,1.31657,1.11115,1.12688,1.1718,1.31353,1.08696,26,70,25,22,68,25,36,33,32,42,27,43,11,35
pk01_door01_add.png,textures_pk01,9.96515,51.8566,46.4259,46.2451,47.1411,16.7097,44.9095,1,2,9,3,2,2,1,0,1,2,16,6,0,0
pk01_trims01_s.png,textures_pk01,1.31223,1.32981,1.16226,1.18371,1.22095,1.32418,1.11942,25,55,16,21,60,24,31,28,27,38,26,32,10,34
pk01_wall04b_local.png,textures_pk01,3.04613,3.33386,2.87269,2.77899,2.97713,3.29247,2.61707,15,26,13,10,34,13,19,17,16,20,22,16,6,16
pk01_pan_trim01_local.png,textures_pk01,2.83472,2.8151,2.08172,1.5166,1.79088,2.93803,2.30984,10,16,5,5,31,9,27,19,22,22,10,9,3,9
pk01_thin_wall01a_d.png,textures_pk01,0.929918,0.929917,0.983523,0.989518,0.988229,0.929905,0.855222,18,39,9,14,25,13,10,11,10,18,13,24,7,22
pk01_panel_small01_add.png,textures_pk01,4.0516,5.58962,5.59794,5.6719,5.68611,4.69812,5.01418,3,5,6,2,5,1,2,1,2,2,9,4,1,2
pk01_floor02b_d.png,textures_pk01,0.928846,0.928845,0.985676,0.992029,0.990186,0.928834,0.855575,17,37,13,13,24,12,9,11,9,17,18,21,6,21
pk01_panel03_s.png,textures_pk01,1.56697,1.60286,1.32501,1.31888,1.38666,1.59163,1.29516,22,43,15,18,59,21,68,30,63,36,24,26,10,30
pk01_pan_wall02b2_d.png,textures_pk01,1.03136,1.03193,1.00404,1.01606,1.02761,1.0324,0.916137,32,71,15,27,59,27,28,28,26,40,25,43,12,41
pk01_trims01_local.png,textures_pk01,2.21724,2.30565,1.96782,1.89185,2.01867,2.27824,1.84427,20,36,11,13,47,16,27,22,23,29,20,23,8,21
pk01_panel03a_d.png,textures_pk01,0.940663,0.940665,0.982349,0.992671,0.991844,0.940669,0.86053,35,75,27,28,52,26,21,26,20,37,36,46,13,43
pk01_wall03_local.png,textures_pk01,3.55391,4.01418,3.04743,2.50644,2.84121,3.83347,3.10841,26,44,22,18,70,26,55,42,47,51,41,31,10,27
pk01_thin_wall01_local.png,textures_pk01,1.88268,1.8778,1.61695,1.39882,1.52821,1.91166,1.59342,12,22,8,8,28,11,21,16,18,20,12,13,4,13
pk01_pan_wall02a_s.png,textures_pk01,1.71347,1.7688,1.40561,1.38579,1.47033,1.74859,1.42347,21,42,14,17,60,21,35,30,30,37,23,25,9,26
pk01_floor01_s.png,textures_pk01,1.14969,1.15117,1.01327,1.02789,1.05741,1.15183,0.983949,58,128,35,51,140,58,71,68,63,90,54,74,22,78
pk01_roof01_local.png,textures_pk01,3.6773,4.09275,3.36314,3.18433,3.52603,4.08382,2.93478,27,48,23,19,64,25,39,31,33,40,39,30,11,29
pk01_wall03a_d.png,textures_pk01,0.934716,0.934715,0.985912,0.993883,0.992889,0.934715,0.858517,70,155,54,59,102,56,39,79,38,83,71,94,26,87
pk01_floor01_local.png,textures_pk01,1.41202,1.44141,1.3767,1.32691,1.36507,1.43225,1.2989,49,100,37,39,93,42,53,50,47,67,55,59,17,58
pk01_panel01a_d.png,textures_pk01,0.942367,0.942376,0.981544,0.992612,0.991856,0.942392,0.86143,34,77,16,27,53,27,20,27,20,40,25,45,13,43
