filename,category,pixel_size,encode_ms,decode_ms,size_kb,rate
pk01_panel02_s.png,textures_pk01,131072,17,24,2134,1.43935
pk01_panel02_d.png,textures_pk01,131072,23,20,3763,0.816166
pk01_panel_small02_add.png,textures_pk01,65536,1,1,57,26.5633
pk01_panel03_local.png,textures_pk01,131072,13,8,959,3.20292
pk01_pan_wall02a_local.png,textures_pk01,131072,9,6,636,4.82753
pk01_panel03b_d.png,textures_pk01,131072,107,49,3735,0.822453
pk01_pan_wall02b_s.png,textures_pk01,131072,28,18,2378,1.29141
pk01_wall02_local.png,textures_pk01,131072,105,131,1148,2.67467
pk01_pan_wall02b1_d.png,textures_pk01,131072,217,72,3507,0.875796
pk01_floor02a_d.png,textures_pk01,65536,148,58,1908,0.804811
pk01_thin_wall01b_d.png,textures_pk01,65536,107,95,1890,0.812586
pk01_wall03b_d.png,textures_pk01,262144,497,301,7539,0.814932
pk01_pan_floor01_local.png,textures_pk01,65536,135,4,444,3.45944
pk01_panel01a_add.png,textures_pk01,131072,105,17,358,8.56759
pk01_pan_floor02b_d.png,textures_pk01,65536,80,35,1870,0.821217
pk01_panel01b_d.png,textures_pk01,131072,139,88,3793,0.809757
pk01_floor02_s.png,textures_pk01,65536,95,49,1720,0.892892
pk01_gra_floor01_local.png,textures_pk01,131072,368,121,2721,1.1286
pk01_door01b_d.png,textures_pk01,131072,154,163,3758,0.817321
pk01_door01_local.png,textures_pk01,131072,134,29,1294,2.37365
pk01_tile_floor01b_d.png,textures_pk01,131072,482,280,3793,0.809814
pk01_trims01a_d.png,textures_pk01,131072,192,91,3721,0.825476
pk01_gra_floor02_d.png,textures_pk01,65536,67,390,1894,0.810828
pk01_gra_floor02_s.png,textures_pk01,65536,26,18,1689,0.908963
pk01_panel02_local.png,textures_pk01,131072,18,10,1134,2.70845
pk01_panel01_s.png,textures_pk01,131072,23,17,2705,1.13562
pk01_door01_add.png,textures_pk01,131072,3,2,68,44.9287
pk01_trims01_s.png,textures_pk01,131072,21,16,2670,1.1504
pk01_wall04b_local.png,textures_pk01,131072,15,9,1087,2.82464
pk01_pan_trim01_local.png,textures_pk01,65536,10,6,656,2.33804
pk01_thin_wall01a_d.png,textures_pk01,65536,12,10,1905,0.806297
pk01_panel_small01_add.png,textures_pk01,65536,3,2,317,4.84328
pk01_floor02b_d.png,textures_pk01,65536,11,10,1907,0.80529
pk01_panel03_s.png,textures_pk01,131072,18,14,2222,1.38245
pk01_pan_wall02b2_d.png,textures_pk01,131072,23,19,3439,0.893144
pk01_trims01_local.png,textures_pk01,131072,17,12,1562,1.96571
pk01_panel03a_d.png,textures_pk01,131072,23,20,3768,0.815184
